city,iataCode, Airport name, Location, Country,isInternational
PEN Penang International Airport,PEN,Penang International Airport,Penang,Malaysia,YES
PYC Playón Chico Airport,PYC,Playón Chico Airport,"Ukupseni, Guna Yala",Panama,
RXE Rexburg-Madison County Airport,RXE,Rexburg-Madison County Airport,"Rexburg, Idaho",United States,
SOM San Tomé Airport,SOM,San Tomé Airport,San Tomé,Venezuela,
THI Tichitt Airport,THI,Tichitt Airport,Tichitt,Mauritania,
ULY Ulyanovsk Vostochny Airport,ULY,Ulyanovsk Vostochny Airport,Ulyanovsk,Russia,
WNH Wenshan Airport,WNH,Wenshan Airport,"Wenshan, Yunnan",China,
YEO RNAS Yeovilton,YEO,RNAS Yeovilton,"Yeovilton, England",United Kingdom,
YTG Sullivan Bay Airport,YTG,Sullivan Bay Airport,"Sullivan Bay, British Columbia",Canada,
TTK Tottenham Hale Station,TTK,Tottenham Hale Station,London,United Kingdom,
AHF Arapahoe Municipal Airport,AHF,Arapahoe Municipal Airport,"Arapahoe, Nebraska",United States,
ATM Altamira Airport,ATM,Altamira Airport,"Altamira, Pará",Brazil,
BFV Buriram Airport,BFV,Buriram Airport,Buriram (Buri Ram),Thailand,
BQV Bartlett Cove Seaplane Base,BQV,Bartlett Cove Seaplane Base,"Bartlett Cove, Alaska",United States,
CCK Cocos Islands Airport,CCK,Cocos Islands Airport,Cocos Islands,Australia,
CNY Canyonlands Field,CNY,Canyonlands Field,"Moab, Utah",United States,
DBO Dubbo Airport,DBO,Dubbo Airport,"Dubbo, New South Wales",Australia,
EAA Eagle Airport,EAA,Eagle Airport,"Eagle, Alaska",United States,
FAJ Diego Jimenez Torres Airport,FAJ,Diego Jimenez Torres Airport,"Fajardo, Puerto Rico",United States,
GCY Greeneville-Greene County Municipal Airport,GCY,Greeneville-Greene County Municipal Airport,"Greeneville, Tennessee",United States,
GVA Cointrin International Airport,GVA,Cointrin International Airport,Geneva,Switzerland,YES
HRM Tilrempt Airport,HRM,Tilrempt Airport,Hassi R'Mel,Algeria,
IPW Ipswich Airport (closed 1996),IPW,Ipswich Airport (closed 1996),Ipswich,England,
JRO Kilimanjaro International Airport,JRO,Kilimanjaro International Airport,Kilimanjaro,Tanzania,YES
KKJ Kokura Airport,KKJ,Kokura Airport,"Kita Ky?sh?, Ky?sh?",Japan,
KWT Kwethluk Airport,KWT,Kwethluk Airport,"Kwethluk, Alaska",United States,
LLV Lüliang Airport,LLV,Lüliang Airport,"Lüliang, Shanxi",China,
MAN Manchester Airport,MAN,Manchester Airport,Manchester,United Kingdom,
MLE Malé International Airport,MLE,Malé International Airport,Hulhulé Island,Maldives,YES
MWG Marawaka Airport,MWG,Marawaka Airport,Marawaka,Papua New Guinea,
NYK Nanyuki Airport,NYK,Nanyuki Airport,Nanyuki,Kenya,
PEQ Pecos Municipal Airport,PEQ,Pecos Municipal Airport,"Pecos, Texas",United States,
PYH Cacique Aramare Airport,PYH,Cacique Aramare Airport,Puerto Ayacucho,Venezuela,
RXS Roxas Airport,RXS,Roxas Airport,"Roxas City, Capiz",Philippines,
SON Santo-Pekoa International Airport,SON,Santo-Pekoa International Airport,Luganville,Vanuatu,YES
THL Tachilek Airport,THL,Tachilek Airport,Tachilek,Myanmar (Burma),
UMA Punta de Maisi Airport,UMA,Punta de Maisi Airport,"Maisí, Guantánamo Province",Cuba,
WNP Naga Airport (Pili Airport),WNP,Naga Airport (Pili Airport),"Pili, Camarines Sur",Philippines,
YEP Estevan Point Airport,YEP,Estevan Point Airport,"Estevan Point, British Columbia",Canada,
YTH Thompson Airport,YTH,Thompson Airport,"Thompson, Manitoba",Canada,
XAT Gare d'Antibes,XAT,Gare d'Antibes,Antibes,France,
AHH Amery Municipal Airport,AHH,Amery Municipal Airport,"Amery, Wisconsin",United States,
ATN Namatanai Airport,ATN,Namatanai Airport,Namatanai,Papua New Guinea,
BFW Sidi Bel Abbès Airport,BFW,Sidi Bel Abbès Airport,Sidi Bel Abbès,Algeria,
BQW Balgo Hill Airport,BQW,Balgo Hill Airport,"Balgo Hill, Western Australia",Australia,
CCL Chinchilla Airport,CCL,Chinchilla Airport,"Chinchilla, Queensland",Australia,
CNZ Cangamba Airport,CNZ,Cangamba Airport,Cangamba,Angola,
DBP Debepare Airport,DBP,Debepare Airport,Debepare,Papua New Guinea,
EAB Abbse Airport,EAB,Abbse Airport,Abbse,Yemen,
FAK False Island Seaplane Base,FAK,False Island Seaplane Base,"False Island, Alaska",United States,
GDA Gounda Airport,GDA,Gounda Airport,Gounda,Central African Republic,
GVE Gordonsville Municipal Airport,GVE,Gordonsville Municipal Airport,"Gordonsville, Virginia",United States,
HRN Heron Island Heliport,HRN,Heron Island Heliport,"Heron Island, Queensland",Australia,
IQM Qiemo Airport,IQM,Qiemo Airport,"Qiemo, Xinjiang",China,
JRS Atarot Airport (Jerusalem International Airport),JRS,Atarot Airport (Jerusalem International Airport),Jerusalem,Israel,YES
KKK Kalakaket Creek Air Station,KKK,Kalakaket Creek Air Station,"Kalakaket Creek, Alaska",United States,
KWV Kurwina Airport,KWV,Kurwina Airport,Kurwina,Papua New Guinea,
LLW Kamuzu International Airport,LLW,Kamuzu International Airport,Lilongwe,Malawi,YES
MAO Eduardo Gomes International Airport,MAO,Eduardo Gomes International Airport,"Manaus, Amazonas",Brazil,YES
MLF Milford Municipal Airport (Ben and Judy Briscoe Field),MLF,Milford Municipal Airport (Ben and Judy Briscoe Field),"Milford, Utah",United States,
MWH GRANT County International Airport,MWH,GRANT County International Airport,"Moses Lake, Washington",United States,YES
NYM Nadym Airport,NYM,Nadym Airport,"Nadym, Yamalo - Nenets Autonomous Okrug",Russia,
PER Perth Airport,PER,Perth Airport,"Perth, Western Australia",Australia,
PYJ Polyarny Airport,PYJ,Polyarny Airport,"Polyarny, Yakutia",Russia,
RYB Staroselye Airport,RYB,Staroselye Airport,"Rybinsk, Yaroslavl Oblast",Russia,
SOP Moore County Airport,SOP,Moore County Airport,"Pinehurst / Southern Pines, North Carolina",United States,
THN Trollhättan-Vänersborg Airport,THN,Trollhättan-Vänersborg Airport,Trollhättan / Vänersborg,Sweden,
UMD Uummannaq Heliport,UMD,Uummannaq Heliport,Uummannaq,Greenland,
WNZ Wenzhou Yongqiang Airport,WNZ,Wenzhou Yongqiang Airport,"Wenzhou, Zhejiang",China,
YEQ Yenkis Airport,YEQ,Yenkis Airport,Yenkis,Papua New Guinea,
YTI Triple Island Helipad,YTI,Triple Island Helipad,"Triple Island, British Columbia",Canada,
XAX Dorval,XAX,Dorval,Montréal,Canada,
AHI Amahai Airport,AHI,Amahai Airport,Amahai,Indonesia,
ATO Ohio University Airport (Snyder Field),ATO,Ohio University Airport (Snyder Field),"Athens/Albany, Ohio",United States,
BFX Bafoussam Airport,BFX,Bafoussam Airport,Bafoussam,Cameroon,
BRA Barreiras Airport,BRA,Barreiras Airport,"Barreiras, Bahia",Brazil,
CCM Forquilhinha Airport,CCM,Forquilhinha Airport,"Criciúma, Santa Catarina",Brazil,
COA Columbia Airport,COA,Columbia Airport,"Columbia, California",United States,
DBQ Dubuque Regional Airport,DBQ,Dubuque Regional Airport,"Dubuque, Iowa",United States,
EAE Siwo Airport,EAE,Siwo Airport,"Sangafa, Emae, Shéfa",Vanuatu,
FAM Farmington Regional Airport,FAM,Farmington Regional Airport,"Farmington, Missouri",United States,
GDC Donaldson Center Airport,GDC,Donaldson Center Airport,"Greenville, South Carolina",United States,
GVI Green River Airport,GVI,Green River Airport,Green River,Papua New Guinea,
HRO Boone County Airport,HRO,Boone County Airport,"Harrison, Arkansas",United States,
IQN Qingyang Airport,IQN,Qingyang Airport,"Qingyang, Gansu",China,
JSA Jaisalmer Airport,JSA,Jaisalmer Airport,Jaisalmer,India,
KKL Karluk Lake Seaplane Base,KKL,Karluk Lake Seaplane Base,"Karluk Lake, Alaska",United States,
KWX Kiwai Island Airport,KWX,Kiwai Island Airport,Kiwai Island,Papua New Guinea,
LLX Caledonia County Airport,LLX,Caledonia County Airport,"Lyndonville, Vermont",United States,
MAP Mamai Airport,MAP,Mamai Airport,Mamai,Papua New Guinea,
MLG Abdul Rachman Saleh Airport,MLG,Abdul Rachman Saleh Airport,"Malang, East Java",Indonesia,
MWJ Matthews Ridge Airport,MWJ,Matthews Ridge Airport,Matthews Ridge,Guyana,
NYO Stockholm-Skavsta Airport,NYO,Stockholm-Skavsta Airport,Nyköping,Sweden,
PES Besovets Airport,PES,Besovets Airport,Petrozavodsk,Russia,
PYM Plymouth Municipal Airport,PYM,Plymouth Municipal Airport,"Plymouth, Massachusetts",United States,
"RYG Moss Airport, Rygge / Rygge Air Station",RYG,"Moss Airport, Rygge / Rygge Air Station",Rygge,Norway,
SOS Sayak (Siargao) Airport,SOS,Sayak (Siargao) Airport,"Del Carmen, Surigao del Norte",Philippines,
THO Thorshofn Airport,THO,Thorshofn Airport,Þórshöfn,Iceland,
UME Umeå City Airport,UME,Umeå City Airport,Umeå,Sweden,
WOE Woensdrecht Air Base,WOE,Woensdrecht Air Base,Woensdrecht,Netherlands,
YER Fort Severn Airport,YER,Fort Severn Airport,"Fort Severn, Ontario",Canada,
YTJ Terrace Bay Airport,YTJ,Terrace Bay Airport,"Terrace Bay, Ontario",Canada,
XCG Gare de Cagnes-sur-Mer,XCG,Gare de Cagnes-sur-Mer,Cagnes-sur-Mer,France,
AHL Aishalton Airport,AHL,Aishalton Airport,Aishalton,Guyana,
ATP Aitape Airstrip,ATP,Aitape Airstrip,Aitape,Papua New Guinea,
BGA Palonegro Airport,BGA,Palonegro Airport,Bucaramanga,Colombia,
BRB Barreirinhas Airport,BRB,Barreirinhas Airport,"Barreirinhas, Maranhão",Brazil,
CCN Chaghcharan Airport,CCN,Chaghcharan Airport,Chaghcharan,Afghanistan,
COB Coolibah Airport,COB,Coolibah Airport,"Coolibah, Northern Territory",Australia,
DBS Dubois Municipal Airport,DBS,Dubois Municipal Airport,"Dubois, Idaho",United States,
EAL Elenak Airport,EAL,Elenak Airport,Elenak,Marshall Islands,
FAN Lista Airport,FAN,Lista Airport,Farsund,Norway,
GDD Gordon Downs Airport,GDD,Gordon Downs Airport,"Gordon Downs, Western Australia",Australia,
GVL Lee Gilmer Memorial Airport,GVL,Lee Gilmer Memorial Airport,"Gainesville, Georgia",United States,
HRR Herrera Airport,HRR,Herrera Airport,Herrera,Colombia,
IQQ Diego Aracena International Airport,IQQ,Diego Aracena International Airport,Iquique,Chile,YES
JSD Sikorsky Heliport,JSD,Sikorsky Heliport,"Stratford, Connecticut",United States,
KKM Sa Pran Nak Airport,KKM,Sa Pran Nak Airport,Lop Buri,Thailand,
KWY Kiwayu Airport,KWY,Kiwayu Airport,Kiwayu,Kenya,
LLY South Jersey Regional Airport,LLY,South Jersey Regional Airport,"Mount Holly, New Jersey",United States,
MAQ Mae Sot Airport,MAQ,Mae Sot Airport,"Mae Sot, Tak Province",Thailand,
MLH EuroAirport Basel-Mulhouse-Freiburg,MLH,EuroAirport Basel-Mulhouse-Freiburg,Mulhouse,France,
MWK Matak Airport,MWK,Matak Airport,"Anambas Islands, Riau Province",Indonesia,
NYR Nyurba Airport,NYR,Nyurba Airport,"Nyurba, Sakha Republic",Russia,
PET Pelotas International Airport,PET,Pelotas International Airport,"Pelotas, Rio Grande DO Sul",Brazil,YES
PYY Pai Airport,PYY,Pai Airport,Pai,Thailand,
RYN Medis Airport,RYN,Medis Airport,Royan,France,
SOU Southampton Airport,SOU,Southampton Airport,"Eastleigh, England",United Kingdom,
THP Hot Springs County-Thermopolis Municipal Airport,THP,Hot Springs County-Thermopolis Municipal Airport,"Thermopolis, Wyoming",United States,
UMM Summit Airport,UMM,Summit Airport,"Summit, Alaska",United States,
WOL Illawarra Regional Airport (Wollongong Airport),WOL,Illawarra Regional Airport (Wollongong Airport),"Shellharbour, Wollongong, New South Wales",Australia,
YET Edson Airport,YET,Edson Airport,"Edson, Alberta",Canada,
YTK Tulugak Airport,YTK,Tulugak Airport,"Tulugak, Quebec",Canada,
XDB Gare de Lille Europe,XDB,Gare de Lille Europe,Lille,France,
AHN Athens-Ben Epps Airport,AHN,Athens-Ben Epps Airport,"Athens, Georgia",United States,
ATQ Sri Guru Ram Dass Jee International Airport,ATQ,Sri Guru Ram Dass Jee International Airport,Amritsar,India,YES
BGB Booue Airport,BGB,Booue Airport,Booue,Gabon,
BRC San Carlos de Bariloche Airport,BRC,San Carlos de Bariloche Airport,"San Carlos de Bariloche, Río Negro Province",Argentina,
CCO Carimagua Airport,CCO,Carimagua Airport,"Puerto López, Meta",Colombia,
COC Concordia Airport (Comodoro Pierrestegui Airport),COC,Concordia Airport (Comodoro Pierrestegui Airport),"Concordia, Entre Ríos",Argentina,
DBT Debre Tabor Airport,DBT,Debre Tabor Airport,Debre Tabor,Ethiopia,
EAM Najran Domestic Airport,EAM,Najran Domestic Airport,Najran (Nejran),Saudi Arabia,
FAO Faro Airport,FAO,Faro Airport,Faro,Portugal,
GDE Gode Airport (Iddidole Airport),GDE,Gode Airport (Iddidole Airport),Gode,Ethiopia,
GVP Greenvale Airport,GVP,Greenvale Airport,"Greenvale, Queensland",Australia,
HRS Harrismith Airport,HRS,Harrismith Airport,Harrismith,South Africa,
IQT Crnl. FAP Francisco Secada Vignetta International Airport,IQT,Crnl. FAP Francisco Secada Vignetta International Airport,"Iquitos, Loreto",Peru,YES
JSG San Rafael Heliport,JSG,San Rafael Heliport,"San Rafael, California",United States,
"KKN Kirkenes Airport, Høybuktmoen",KKN,"Kirkenes Airport, Høybuktmoen","Kirkenes, Finnmark",Norway,
KWZ Kolwezi Airport,KWZ,Kolwezi Airport,"Kolwezi, Lualaba District",Democratic Republic of the Congo,
LMA Lake Minchumina Airport,LMA,Lake Minchumina Airport,"Lake Minchumina, Alaska",United States,
MAR La Chinita International Airport,MAR,La Chinita International Airport,Maracaibo,Venezuela,YES
MLI Quad City International Airport,MLI,Quad City International Airport,"Moline, Illinois",United States,YES
MWL Mineral Wells Airport,MWL,Mineral Wells Airport,"Mineral Wells, Texas",United States,
NYT Naypyidaw Airport,NYT,Naypyidaw Airport,Naypyidaw,Myanmar,
PEW Peshawar Airport,PEW,Peshawar Airport,Peshawar,Pakistan,
PZB Pietermaritzburg Airport,PZB,Pietermaritzburg Airport,Pietermaritzburg,South Africa,
RZE Rzeszów - Jasionka Airport,RZE,Rzeszów - Jasionka Airport,Rzeszów,Poland,
SOV Seldovia Airport,SOV,Seldovia Airport,"Seldovia, Alaska",United States,
THR Mehrabad International Airport,THR,Mehrabad International Airport,Tehran,Iran,YES
UMS Ust-Maya Airport,UMS,Ust-Maya Airport,"Ust-Maya, Ust-Maysky District, Sakha Republic",Russia,
WOT Wang-an Airport,WOT,Wang-an Airport,"Wang-an, Penghu (Pescadores)",China,
YEU Eureka Aerodrome,YEU,Eureka Aerodrome,"Eureka, Nunavut",Canada,
YTL Big Trout Lake Airport,YTL,Big Trout Lake Airport,"Big Trout Lake, Ontario",Canada,
XDH Jasper Railway Station,XDH,Jasper Railway Station,"Jasper, Alberta",Canada,
AHO Fertilia Airport (Alghero Airport),AHO,Fertilia Airport (Alghero Airport),"Alghero, Sardinia",Italy,
ATR Atar International Airport,ATR,Atar International Airport,Atar,Mauritania,YES
BGC Bragança Airport,BGC,Bragança Airport,Bragança,Portugal,
BRD Brainerd Lakes Regional Airport,BRD,Brainerd Lakes Regional Airport,"Brainerd, Minnesota",United States,
CCP Carriel Sur International Airport,CCP,Carriel Sur International Airport,"Concepción, Bío Bío Region",Chile,YES
COD Yellowstone Regional Airport,COD,Yellowstone Regional Airport,"Cody, Wyoming",United States,
DBV Dubrovnik Airport,DBV,Dubrovnik Airport,"Dubrovnik, Dubrovnik-Neretva County",Croatia,
EAN Phifer Airfield,EAN,Phifer Airfield,"Wheatland, Wyoming",United States,
FAQ Frieda River Airport,FAQ,Frieda River Airport,Frieda River,Papua New Guinea,
GDG Magdagachi Airport,GDG,Magdagachi Airport,Magdagachi,Russia,
GVR Governador Valadares Airport,GVR,Governador Valadares Airport,"Governador Valadares, Minas Gerais",Brazil,
HRT Linton-On-Ouse Airport,HRT,Linton-On-Ouse Airport,"Harrogate, England",United Kingdom,
IRA Ngorangora Airport (Kirakira Airport),IRA,Ngorangora Airport (Kirakira Airport),"Kirakira, Makira Island",Solomon Islands,
JSH Sitia Public Airport,JSH,Sitia Public Airport,"Sitia, Crete",Greece,
KKO Kaikohe Aerodrome,KKO,Kaikohe Aerodrome,Kaikohe,New Zealand,
KXA Kasaan Seaplane Base,KXA,Kasaan Seaplane Base,"Kasaan, Alaska",United States,
LMB Salima Airport,LMB,Salima Airport,Salima,Malawi,
MAS Momote Airport,MAS,Momote Airport,"Los Negros Island, Admiralty Islands",Papua New Guinea,
MLJ Baldwin County Airport,MLJ,Baldwin County Airport,"Milledgeville, Georgia",United States,
MWM Windom Municipal Airport,MWM,Windom Municipal Airport,"Windom, Minnesota",United States,
NYU Bagan Airport,NYU,Bagan Airport,Bagan,Myanmar (Burma),
PEX Pechora Airport,PEX,Pechora Airport,"Pechora, Komi Republic",Russia,
PZH Zhob Airport,PZH,Zhob Airport,Zhob,Pakistan,
RZN Turlatovo Airport,RZN,Turlatovo Airport,Ryazan,Russia,
SOW Show Low Regional Airport,SOW,Show Low Regional Airport,"Show Low, Arizona",United States,
THS Sukhothai Airport,THS,Sukhothai Airport,Sukhothai,Thailand,
UMT Umiat Airport,UMT,Umiat Airport,"Umiat, Alaska",United States,
WOW Willow Airport,WOW,Willow Airport,"Willow, Alaska",United States,
YEV Inuvik (Mike Zubko) Airport,YEV,Inuvik (Mike Zubko) Airport,"Inuvik, Northwest Territories",Canada,
YTM Rivière Rouge/Mont-Tremblant International Airport,YTM,Rivière Rouge/Mont-Tremblant International Airport,"Mont-Tremblant (La Macaza), Quebec",Canada,YES
XDS Ottawa Train Station,XDS,Ottawa Train Station,Ottawa,Canada,
AHS Ahuas Airport,AHS,Ahuas Airport,Ahuas,Honduras,
ATS Artesia Municipal Airport,ATS,Artesia Municipal Airport,"Artesia, New Mexico",United States,
BGD Hutchinson County Airport,BGD,Hutchinson County Airport,"Borger, Texas",United States,
BRE Bremen Airport,BRE,Bremen Airport,Bremen,Germany,
CCQ Cachoeira Airport,CCQ,Cachoeira Airport,"Cachoeira, Bahia",Brazil,
COE Coeur d'Alene Air Terminal,COE,Coeur d'Alene Air Terminal,"Coeur d'Alene, Idaho",United States,
DBY Dalby Airport,DBY,Dalby Airport,"Dalby, Queensland",Australia,
EAP All airports,EAP,All airports,"Mulhouse, France / Basel",Switzerland,
FAR Hector International Airport,FAR,Hector International Airport,"Fargo, North Dakota",United States,YES
GDH Golden Horn Lodge Seaplane Base,GDH,Golden Horn Lodge Seaplane Base,"Golden Horn Lodge, Alaska",United States,
GVT Majors Airport,GVT,Majors Airport,"Greenville, Texas",United States,
HRY Henbury Airport,HRY,Henbury Airport,"Henbury, Northern Territory",Australia,
IRB Iraan Municipal Airport,IRB,Iraan Municipal Airport,"Iraan, Texas",United States,
JSI Skiathos Island National Airport,JSI,Skiathos Island National Airport,Skiathos Island,Greece,
KKP Koolburra Airport,KKP,Koolburra Airport,"Koolburra, Queensland",Australia,
KXE Klerksdorp Airport (P.C. Pelser Airport),KXE,Klerksdorp Airport (P.C. Pelser Airport),Klerksdorp,South Africa,
LMC La Macarena Airport,LMC,La Macarena Airport,La Macarena,Colombia,
MAT Tshimpi Airport (Matadi Airport),MAT,Tshimpi Airport (Matadi Airport),Matadi,Democratic Republic of the Congo,
MLL Marshall Don Hunter Sr.Airport,MLL,Marshall Don Hunter Sr.Airport,"Marshall, Alaska",United States,
MWO Hook Field Municipal Airport,MWO,Hook Field Municipal Airport,"Middletown, Ohio",United States,
NZA Nzagi Airport,NZA,Nzagi Airport,Nzagi(Andrada),Angola,
PEZ Penza Airport,PEZ,Penza Airport,Penza,Russia,
PZO Manuel Carlos Piar Guayana Airport,PZO,Manuel Carlos Piar Guayana Airport,Ciudad Guayana,Venezuela,
RZP Cesar Lim Rodriguez (Taytay-Sandoval) Airport,RZP,Cesar Lim Rodriguez (Taytay-Sandoval) Airport,"Taytay, Palawan",Philippines,
SOY Stronsay Airport,SOY,Stronsay Airport,"Stronsay, Scotland",United Kingdom,
THT Tamchakett Airport,THT,Tamchakett Airport,Tamchakett,Mauritania,
UNC Unguía Airport,UNC,Unguía Airport,Unguía,Colombia,
WPA Puerto Aisén Airport,WPA,Puerto Aisén Airport,Puerto Aisén,Chile,
YEY Amos/Magny Airport,YEY,Amos/Magny Airport,"Amos, Quebec",Canada,
YTN Rivière-au-Tonnerre Airport,YTN,Rivière-au-Tonnerre Airport,"Rivière-au-Tonnerre, Quebec",Canada,
XDV Prince George Railway Station,XDV,Prince George Railway Station,"Prince George, British Columbia",Canada,
AHU Charif Al ldrissi Airport,AHU,Charif Al ldrissi Airport,Al Hoceima,Morocco,
ATT Atmautluak Airport,ATT,Atmautluak Airport,"Atmautluak, Alaska",United States,
BGE Decatur County Industrial Air Park,BGE,Decatur County Industrial Air Park,"Bainbridge, Georgia",United States,
BRH Brahman Airport,BRH,Brahman Airport,Brahman,Papua New Guinea,
CCR Buchanan Field,CCR,Buchanan Field,"Concord, California",United States,
COF Patrick Air Force Base,COF,Patrick Air Force Base,"Cocoa Beach, Florida",United States,
DCA Ronald Reagan Washington National Airport,DCA,Ronald Reagan Washington National Airport,"Arlington County, Virginia",United States,
EAR Kearney Regional Airport,EAR,Kearney Regional Airport,"Kearney, Nebraska",United States,
FAS Fáskrúðsfjörður Airport,FAS,Fáskrúðsfjörður Airport,Fáskrúðsfjörður,Iceland,
GDI Gordil Airport,GDI,Gordil Airport,Gordil,Central African Republic,
GVX Gävle-Sandviken Airport,GVX,Gävle-Sandviken Airport,Gävle-Sandviken,Sweden,
HRZ Horizontina Airport,HRZ,Horizontina Airport,"Horizontina, Rio Grande do Sul",Brazil,
IRC Circle City (New) Airport,IRC,Circle City (New) Airport,"Circle, Alaska",United States,
JSK St. Cloud Municipal Heliport,JSK,St. Cloud Municipal Heliport,"St. Cloud, Minnesota",United States,
KKR Kaukura Atoll Airport,KKR,Kaukura Atoll Airport,Kaukura Atoll,French Polynesia,
KXF Koro Airport,KXF,Koro Airport,Koro Island,Fiji,
LMD Los Menucos Airport,LMD,Los Menucos Airport,"Los Menucos, Río Negro",Argentina,
MAU Maupiti Airport,MAU,Maupiti Airport,"Maupiti, Leeward Islands",French Polynesia,
MLM GENERAL Francisco J.Mujica International Airport,MLM,GENERAL Francisco J.Mujica International Airport,"Morelia, Michoacán",Mexico,YES
MWP Mountain Airport,MWP,Mountain Airport,Mountain,Nepal,
NZC Maria Reiche Neuman Airport,NZC,Maria Reiche Neuman Airport,"Nazca, Ica Region",Peru,
PFB Lauro Kurtz Airport (Passo Fundo Airport),PFB,Lauro Kurtz Airport (Passo Fundo Airport),"Passo Fundo, Rio Grande DO Sul",Brazil,
PZU PORT Sudan New International Airport,PZU,PORT Sudan New International Airport,PORT Sudan,Sudan,YES
RZZ Halifax County Airport,RZZ,Halifax County Airport,"Roanoke Rapids, North Carolina",United States,
SPA Spartanburg Downtown Memorial Airport,SPA,Spartanburg Downtown Memorial Airport,"Spartanburg, South Carolina",United States,
THU Thule Air Base,THU,Thule Air Base,Pituffik,Greenland,
UND Kunduz Airport,UND,Kunduz Airport,Kunduz,Afghanistan,
WPB Port Bergé Airport,WPB,Port Bergé Airport,Port Bergé,Madagascar,
YFA Fort Albany Airport,YFA,Fort Albany Airport,"Fort Albany, Ontario",Canada,
YTO All airports,YTO,All airports,"Toronto, Ontario",Canada,
XDW Prince Rupert Railway Station,XDW,Prince Rupert Railway Station,"Prince Rupert, British Columbia",Canada,
AHY Ambatolahy Airport,AHY,Ambatolahy Airport,Ambatolahy,Madagascar,
ATU Casco Cove Coast Guard Station,ATU,Casco Cove Coast Guard Station,"Attu Island, Alaska",United States,
BGF Bangui M'Poko International Airport,BGF,Bangui M'Poko International Airport,Bangui,Central African Republic,YES
"BRI Bari ""Karol Wojty?a"" Airport",BRI,"Bari ""Karol Wojty?a"" Airport",Bari,Italy,
CCS Simón Bolívar International Airport,CCS,Simón Bolívar International Airport,Maiquetía,Venezuela,YES
COG Mandinga Airport,COG,Mandinga Airport,Condoto,Colombia,
DCF Canefield Airport,DCF,Canefield Airport,Canefield,Dominica,
EAS San Sebastián Airport (or Fuenterrabia Airport),EAS,San Sebastián Airport (or Fuenterrabia Airport),San Sebastián,Spain,
FAT Fresno Yosemite International Airport,FAT,Fresno Yosemite International Airport,"Fresno, California",United States,YES
GDJ Gandajika Airport,GDJ,Gandajika Airport,Gandajika,Democratic Republic of the Congo,
GWA Gwa Airport,GWA,Gwa Airport,Gwa,Myanmar (Burma),
HSB Harrisburg-Raleigh Airport,HSB,Harrisburg-Raleigh Airport,"Harrisburg, Illinois",United States,
IRD Ishhurdi Airport,IRD,Ishhurdi Airport,Ishhurdi,Bangladesh,
JSL Steel Pier Taj Mahal Heliport,JSL,Steel Pier Taj Mahal Heliport,"Atlantic City, New Jersey",United States,
KKT Kentland Municipal Airport,KKT,Kentland Municipal Airport,"Kentland, Indiana",United States,
KXK Khurba Airport,KXK,Khurba Airport,"Komsomolsk-on-Amur, Khabarovsk Krai",Russia,
LME Le Mans Arnage Airport,LME,Le Mans Arnage Airport,Le Mans,France,
MAV Maloelap Airport,MAV,Maloelap Airport,"Taroa Island, Maloelap Atoll",Marshall Islands,
MLN Melilla Airport,MLN,Melilla Airport,Melilla,Morocco,
MWQ Magwe Airport,MWQ,Magwe Airport,Magwe,Myanmar (Burma),
NZE Nzérékoré Airport,NZE,Nzérékoré Airport,N'zerekore,Guinea,
PFC Pacific City State Airport,PFC,Pacific City State Airport,"Pacific City, Oregon",United States,
PZY Pieštany Airport,PZY,Pieštany Airport,Pieš?any,Slovakia,
SAA Shively Field,SAA,Shively Field,"Saratoga, Wyoming",United States,
SPB Charlotte Amalie Harbor Seaplane Base (St. Thomas Seaplane Base),SPB,Charlotte Amalie Harbor Seaplane Base (St. Thomas Seaplane Base),"Charlotte Amalie, Saint Thomas",U.S. Virgin Islands,
THV York Airport,THV,York Airport,"York, Pennsylvania",United States,
UNI Union Island Airport,UNI,Union Island Airport,Union Island,Saint Vincent and the Grenadines,
WPC Pincher Creek Airport,WPC,Pincher Creek Airport,"Pincher Creek, Alberta",Canada,
YFB Iqaluit Airport,YFB,Iqaluit Airport,"Iqaluit, Nunavut",Canada,
YTP Tofino Harbour Water Aerodrome,YTP,Tofino Harbour Water Aerodrome,"Tofino, British Columbia",Canada,
XDZ The Pas Railway Station,XDZ,The Pas Railway Station,"The Pas, Manitoba",Canada,
AHZ Alpe d'Huez Airport,AHZ,Alpe d'Huez Airport,Alpe d'Huez,France,
ATV Ati Airport,ATV,Ati Airport,Ati,Chad,
BGH Abbaye Airport,BGH,Abbaye Airport,Boghe (Bogué),Mauritania,
BRJ Bright Airport,BRJ,Bright Airport,"Bright, Victoria",Australia,
CCT Colonia Catriel Airport,CCT,Colonia Catriel Airport,"Colonia Catriel, Río Negro",Argentina,
COH Cooch Behar Airport,COH,Cooch Behar Airport,Cooch Behar,India,
DCI Rafsu Decimomannu Airport,DCI,Rafsu Decimomannu Airport,Sardinia,Italy,
EAT Pangborn Memorial Airport,EAT,Pangborn Memorial Airport,"Wenatchee, Washington",United States,
FAV Fakarava Airport,FAV,Fakarava Airport,"Fakarava, Society Islands",French Polynesia,
GDL Don Miguel Hidalgo y Costilla International Airport,GDL,Don Miguel Hidalgo y Costilla International Airport,Guadalajara,Mexico,YES
GWD Gwadar Airport,GWD,Gwadar Airport,Gwadar,Pakistan,
HSC Shaoguan Airport,HSC,Shaoguan Airport,"Shaoguan, Guangdong",China,
