city,iataCode, Airport name, Location, Country,isInternational
YBB Kugaaruk Airport,YBB,Kugaaruk Airport,"Kugaaruk, Nunavut",Canada,
YPR Prince Rupert Airport,YPR,Prince Rupert Airport,"Prince Rupert, British Columbia",Canada,
ZNU Namu Airport,ZNU,Namu Airport,"Namu, British Columbia",Canada,
ADG Lenawee County Airport,ADG,Lenawee County Airport,"Adrian, Michigan",United States,
APV Apple Valley Airport,APV,Apple Valley Airport,"Apple Valley, California",United States,
BCT Boca Raton Airport,BCT,Boca Raton Airport,"Boca Raton, Florida",United States,
BND Bandar Abbas International Airport,BND,Bandar Abbas International Airport,Bandar Abbas,Iran,YES
BYX Baniyala Airport,BYX,Baniyala Airport,"Baniyala, Northern Territory",Australia,
CKV Outlaw Field,CKV,Outlaw Field,"Clarksville, Tennessee",United States,
CWW Corowa Airport,CWW,Corowa Airport,"Corowa, New South Wales",Australia,
DRJ Drietabbetje Airport,DRJ,Drietabbetje Airport,Drietabbetje,Suriname,
ERS Eros Airport,ERS,Eros Airport,Windhoek,Namibia,
FTK Godman Army Airfield,FTK,Godman Army Airfield,"Fort Knox, Kentucky",United States,
GRE Greenville Airport,GRE,Greenville Airport,"Greenville, Illinois",United States,
HLL Hillside Airport,HLL,Hillside Airport,"Hillside, Western Australia",Australia,
ILD Lleida-Alguaire Airport,ILD,Lleida-Alguaire Airport,Lleida,Spain,
JIL Jilin Ertaizi Airport,JIL,Jilin Ertaizi Airport,"Jilin City, Jilin",China,
KGI Kalgoorlie-Boulder Airport,KGI,Kalgoorlie-Boulder Airport,"Kalgoorlie, Western Australia",Australia,
KSW Kiryat Shmona Airport (Qiryat Shemona Airport),KSW,Kiryat Shmona Airport (Qiryat Shemona Airport),Kiryat Shmona (Qiryat Shemona),Israel,
LGW London Gatwick Airport,LGW,London Gatwick Airport,"London, England",United Kingdom,
LUY Lugo Railway Station,LUY,Lugo Railway Station,Lugo,Spain,
MHY Morehead Airport,MHY,Morehead Airport,Morehead,Papua New Guinea,
MTE Monte Alegre Airport,MTE,Monte Alegre Airport,"Monte Alegre, Pará",Brazil,
NNG Nanning Wuxu International Airport,NNG,Nanning Wuxu International Airport,"Nanning, Guangxi",China,YES
OVB Novosibirsk Tolmachevo Airport,OVB,Novosibirsk Tolmachevo Airport,Novosibirsk,Russia,
PSE Mercedita Airport,PSE,Mercedita Airport,Ponce,Puerto Rico,
RML Ratmalana Airport,RML,Ratmalana Airport,Ratmalana,Sri Lanka,
SKK Shaktoolik Airport,SKK,Shaktoolik Airport,"Shaktoolik, Alaska",United States,
TAK Takamatsu Airport,TAK,Takamatsu Airport,"Takamatsu, Kagawa",Japan,
TWE Taylor Airport,TWE,Taylor Airport,"Taylor, Alaska",United States,
VXC Lichinga Airport,VXC,Lichinga Airport,Lichinga,Mozambique,
YBC Baie-Comeau Airport,YBC,Baie-Comeau Airport,"Baie-Comeau, Quebec",Canada,
YPS Port Hawkesbury Airport,YPS,Port Hawkesbury Airport,"Port Hawkesbury, Nova Scotia",Canada,
ZNZ Zanzibar Airport (Kisauni Airport),ZNZ,Zanzibar Airport (Kisauni Airport),Zanzibar,Tanzania,
ADH Aldan Airport,ADH,Aldan Airport,Aldan,Russia,
APW Faleolo International Airport,APW,Faleolo International Airport,"Apia, Upolu Island",Samoa,YES
BCU Bauchi Airport,BCU,Bauchi Airport,Bauchi,Nigeria,
BNE Brisbane Airport,BNE,Brisbane Airport,"Brisbane, Queensland",Australia,
BZA Bonanza Airport,BZA,Bonanza Airport,"Bonanza, RAAN",Nicaragua,
CKX Chicken Airport,CKX,Chicken Airport,"Chicken, Alaska",United States,
CXA Caicara de Orinoco Airport,CXA,Caicara de Orinoco Airport,Caicara de Orinoco,Venezuela,
DRK Drake Bay Airport,DRK,Drake Bay Airport,Drake Bay,Costa Rica,
ERT Erdenet Airport,ERT,Erdenet Airport,Erdenet,Mongolia,
FTU Tôlanaro Airport (Marillac Airport),FTU,Tôlanaro Airport (Marillac Airport),Tôlanaro,Madagascar,
GRF Gray Army Airfield (Fort Lewis),GRF,Gray Army Airfield (Fort Lewis),"Tacoma, Washington",United States,
HLM Park Township Airport,HLM,Park Township Airport,"Holland, Michigan",United States,
ILE Skylark Field,ILE,Skylark Field,"Killeen, Texas",United States,
JIM Aba Segud Airport,JIM,Aba Segud Airport,Jimma,Ethiopia,
KGJ Karonga Airport,KGJ,Karonga Airport,Karonga,Malawi,
KSX Yasuru Airport,KSX,Yasuru Airport,Yasuru,Papua New Guinea,
LGX Lugh Ganane Airport,LGX,Lugh Ganane Airport,Lugh Ganane,Somalia,
LUZ Lublin Airport,LUZ,Lublin Airport,Lublin,Poland,
MHZ RAF Mildenhall,MHZ,RAF Mildenhall,"Mildenhall, Suffolk, England",United Kingdom,
MTF Mizan Teferi Airport,MTF,Mizan Teferi Airport,Mizan Teferi,Ethiopia,
NNK Naknek Airport,NNK,Naknek Airport,"Naknek, Alaska",United States,
OVD Asturias Airport (Oviedo Airport),OVD,Asturias Airport (Oviedo Airport),"Oviedo, Asturias",Spain,
PSF Pittsfield Municipal Airport,PSF,Pittsfield Municipal Airport,"Pittsfield, Massachusetts",United States,
RMN Rumginae Airport,RMN,Rumginae Airport,Rumginae,Papua New Guinea,
"SKN Stokmarknes Airport, Skagen",SKN,"Stokmarknes Airport, Skagen","Hadsel, Nordland",Norway,
TAL Ralph M. Calhoun Memorial Airport,TAL,Ralph M. Calhoun Memorial Airport,"Tanana, Alaska",United States,
TWF Magic Valley Regional Airport (Joslin Field),TWF,Magic Valley Regional Airport (Joslin Field),"Twin Falls, Idaho",United States,
VXE Sao Pedro Airport,VXE,Sao Pedro Airport,São Vicente,Cape Verde,
YBD New Westminster Airport,YBD,New Westminster Airport,"New Westminster, British Columbia",Canada,
YPT Pender Harbour Water Aerodrome,YPT,Pender Harbour Water Aerodrome,"Pender Harbour, British Columbia",Canada,
ZOF Ocean Falls Airport,ZOF,Ocean Falls Airport,"Ocean Falls, British Columbia",Canada,
