id,city,country_id,lat,lng,population,,country,,,,,,,,,,,,,,,,,,
183,Guernsey,188,57.1669969,-7.374733,#N/A,,United Kingdom,,,,,,,,,,,,,,,,,,
184,Glasgow,188,55.8609,-4.2514,985290,,United Kingdom,,,,,,,,,,,,,,,,,,
185,Gloucestershire,188,51.7643786,-2.1880662,#N/A,,United Kingdom,,,,,,,,,,,,,,,,,,
186,Granada,166,37.1781,-3.6008,232462,,Spain,,,,,,,,,,,,,,,,,,
187,Girona,166,41.9833,2.8167,101852,,Spain,,,,,,,,,,,,,,,,,,
188,Galway,82,53.2729,-9.0418,79504,,Ireland,,,,,,,,,,,,,,,,,,
189,Genoa,84,44.4072,8.934,580097,,Italy,,,,,,,,,,,,,,,,,,
190,Groningen,124,53.2204,6.58,216688,,Netherlands,,,,,,,,,,,,,,,,,,
191,Gdansk,141,54.3667,18.6333,464254,,Poland,,,,,,,,,,,,,,,,,,
192,Geneva,171,46.2,6.15,201818,,Switzerland,,,,,,,,,,,,,,,,,,
193,Gothenburg,170,57.6717,11.981,600473,,Sweden,,,,,,,,,,,,,,,,,,
194,Humberside,188,53.5713963,-0.3534607,#N/A,,United Kingdom,,,,,,,,,,,,,,,,,,
196,Hamburg,65,53.55,10,1841179,,Germany,,,,,,,,,,,,,,,,,,
197,Hannover,65,52.3744,9.7386,538068,,Germany,,,,,,,,,,,,,,,,,,
200,Heraklion,67,35.3400127,25.1343475,#N/A,,Greece,,,,,,,,,,,,,,,,,,
201,Helsinki,60,60.1756,24.9342,642045,,Finland,,,,,,,,,,,,,,,,,,
202,Innsbruck,10,47.2683,11.3933,132493,,Austria,,,,,,,,,,,,,,,,,,
203,Inverness,188,57.4781,-4.2233,70000,,United Kingdom,,,,,,,,,,,,,,,,,,
204,Debrecen,76,47.53,21.6392,201432,,Hungary,,,,,,,,,,,,,,,,,,
205,Ibiza,166,38.9089,1.4328,49783,,Spain,,,,,,,,,,,,,,,,,,
206,Izmir,182,38.4147331,27.1434119,#N/A,,Turkey,,,,,,,,,,,,,,,,,,
207,Istanbul,182,41.01,28.9603,15154000,,Turkey,,,,,,,,,,,,,,,,,,
208,Jonkoping,170,57.7825634,14.165719,#N/A,,Sweden,,,,,,,,,,,,,,,,,,
209,Klagenfurt,10,46.6167,14.3,101403,,Austria,,,,,,,,,,,,,,,,,,
210,Karlsruhe,65,49.0167,8.4,313092,,Germany,,,,,,,,,,,,,,,,,,
211,Kortrijk,17,50.8276429,3.2659884,#N/A,,Belgium,,,,,,,,,,,,,,,,,,
212,Kaunas,101,54.9,23.9333,288466,,Lithuania,,,,,,,,,,,,,,,,,,
213,Katowice,141,50.25,19,276499,,Poland,,,,,,,,,,,,,,,,,,
214,Krakow,141,50.0614,19.9372,766739,,Poland,,,,,,,,,,,,,,,,,,
215,Kosice,159,48.7172272,21.2496774,#N/A,,Slovakia,,,,,,,,,,,,,,,,,,
216,Karlovy Vary,45,50.2306,12.8725,48479,,Czech Republic,,,,,,,,,,,,,,,,,,
217,Karlstad,170,59.3671,13.4999,74141,,Sweden,,,,,,,,,,,,,,,,,,
218,Kuressaare,56,58.2533,22.4861,13097,,Estonia,,,,,,,,,,,,,,,,,,
219,Linz,10,48.3,14.2833,204846,,Austria,,,,,,,,,,,,,,,,,,
220,Liege,17,50.625,5.5907,197885,,Belgium,,,,,,,,,,,,,,,,,,
221,Land's End,188,50.0662633,-5.7148222,#N/A,,United Kingdom,,,,,,,,,,,,,,,,,,
